Date,Total Sales
2022-05-24,865052.56
2022-05-25,456409.95
2022-05-26,240907.83000000002
2022-05-27,661861.4400000001
2022-05-28,1493583.3499999999
2022-05-29,764765.01
2022-05-30,863323.2
2022-05-31,803268.78
2022-06-01,819046.98
2022-06-02,675798.7200000001
2022-06-03,760488.49
2022-06-04,411944.17
2022-06-05,959879.4700000001
2022-06-06,1189535.1600000001
2022-06-07,828053.53
2022-06-08,762978.49
2022-06-09,173701.84000000003
2022-06-10,721921.6
2022-06-11,825090.08
2022-06-12,772452.41
2022-06-13,920104.8400000001
2022-06-14,758393.0
2022-06-15,853929.43
2022-06-16,888899.51
2022-06-17,668648.8500000001
2022-06-18,1187370.98
2022-06-19,1093442.8399999999
2022-06-20,474671.14
2022-06-21,583537.99
2022-06-22,342046.15
2022-06-23,638153.8
2022-06-24,1254025.4
2022-06-25,239877.5
2022-06-26,1182394.29
2022-06-27,464526.05
2022-06-28,484010.9000000001
2022-06-29,505872.48
2022-06-30,240250.06
2022-07-01,1455649.62
2022-07-02,1311359.25
2022-07-03,1270182.98
2022-07-04,314823.81
2022-07-05,812650.58
2022-07-06,391659.71
2022-07-07,610049.38
2022-07-08,841302.49
2022-07-09,711962.6
2022-07-10,854787.98
2022-07-11,1248112.38
2022-07-12,707836.18
2022-07-13,608844.11
2022-07-14,940499.72
2022-07-15,956605.9999999999
2022-07-16,825635.56
2022-07-17,728167.14
2022-07-18,679309.4
2022-07-19,363838.1
2022-07-20,597474.6
2022-07-21,657517.88
2022-07-22,395947.83999999997
2022-07-23,1101446.4300000002
2022-07-24,463898.3
2022-07-25,746260.03
2022-07-26,584467.84
2022-07-27,874310.42
2022-07-28,760412.83
2022-07-29,1279692.31
2022-07-30,746529.85
2022-07-31,888493.75
2022-08-01,535331.29
2022-08-02,625123.54
2022-08-03,198042.0
2022-08-04,1098805.42
2022-08-05,742880.4299999999
2022-08-06,851678.64
2022-08-07,1007826.1799999999
2022-08-08,704423.62
2022-08-09,869007.31
2022-08-10,703363.2
2022-08-11,732690.52
2022-08-12,651844.81
2022-08-13,1297902.58
2022-08-14,386718.32
2022-08-15,641008.08
2022-08-16,1063105.37
2022-08-17,1253056.94
2022-08-18,305704.9
2022-08-19,698234.0800000001
2022-08-20,867029.69
2022-08-21,605553.06
2022-08-22,427476.64
2022-08-23,298440.47
2022-08-24,972767.0700000001
2022-08-25,937402.29
2022-08-26,347065.08999999997
2022-08-27,529142.38
2022-08-28,922345.48
2022-08-29,994452.28
2022-08-30,1135462.04
2022-08-31,714396.28
2022-09-01,598825.2
2022-09-02,431454.98
2022-09-03,674700.15
2022-09-04,433274.02999999997
2022-09-05,370100.56
2022-09-06,330853.83
2022-09-07,470345.5
2022-09-08,678761.83
2022-09-09,483792.5
2022-09-10,502525.5
2022-09-11,1113249.58
2022-09-12,1405439.89
2022-09-13,292700.6
2022-09-14,747604.1599999999
2022-09-15,908058.0900000001
2022-09-16,1069081.6199999999
2022-09-17,522460.35
2022-09-18,405536.25
2022-09-19,458248.8
2022-09-20,160585.82
2022-09-21,542693.53
2022-09-22,748988.41
2022-09-23,629251.75
2022-09-24,600318.15
2022-09-25,489395.12
2022-09-26,1128370.7799999998
2022-09-27,747830.27
2022-09-28,1026516.5499999999
2022-09-29,382421.36
2022-09-30,392974.41000000003
2022-10-01,572454.0
2022-10-02,985648.8099999999
2022-10-03,556478.24
2022-10-04,1266937.1400000001
2022-10-05,465983.49
2022-10-06,685719.0700000001
2022-10-07,531766.01
2022-10-08,289285.08999999997
2022-10-09,820676.23
2022-10-10,1426185.38
2022-10-11,967504.8699999999
2022-10-12,123076.2
2022-10-13,362727.71
2022-10-14,836341.0
2022-10-15,1209544.6099999999
2022-10-16,528908.55
2022-10-17,710834.4099999999
2022-10-18,577888.89
2022-10-19,327069.71
2022-10-20,572569.11
2022-10-21,1231670.68
2022-10-22,1076644.48
2022-10-23,934405.42
2022-10-24,395792.60000000003
2022-10-25,1086103.47
2022-10-26,379157.06000000006
2022-10-27,873854.5
2022-10-28,175272.79
2022-10-29,857860.05
2022-10-30,583718.15
2022-10-31,561318.96
2022-11-01,430074.19
2022-11-02,1238031.6600000001
2022-11-03,363974.33
2022-11-04,491806.80000000005
2022-11-05,724599.5
2022-11-06,842113.47
2022-11-07,395762.2
2022-11-08,996164.7999999999
2022-11-09,993883.0800000001
2022-11-10,917472.74
2022-11-11,1303562.3699999999
2022-11-12,735033.88
2022-11-13,481359.81000000006
2022-11-14,585402.75
2022-11-15,146744.45
2022-11-16,653159.0700000001
2022-11-17,443875.9
2022-11-18,915680.73
2022-11-19,1252167.25
2022-11-20,1126134.6500000001
2022-11-21,943175.35
2022-11-22,924234.12
2022-11-23,1104489.01
2022-11-24,394245.87
2022-11-25,1002919.63
2022-11-26,588495.1300000001
2022-11-27,202926.65000000002
2022-11-28,152925.1
2022-11-29,226537.55
2022-11-30,1399710.62
2022-12-01,699425.73
2022-12-02,740965.5800000001
2022-12-03,637938.72
2022-12-04,216020.74
2022-12-05,767489.9199999999
2022-12-06,491451.70999999996
2022-12-07,654220.42
2022-12-08,726780.54
2022-12-09,467257.16
2022-12-10,1150517.26
2022-12-11,775940.6499999999
2022-12-12,668015.86
2022-12-13,597015.77
2022-12-14,383517.03
2022-12-15,651642.03
2022-12-16,1100107.29
2022-12-17,431961.64
2022-12-18,784195.58
2022-12-19,610162.2
2022-12-20,517757.66000000003
2022-12-21,674647.5900000001
2022-12-22,424697.94
2022-12-23,485273.52
2022-12-24,644215.82
2022-12-25,245889.18
2022-12-26,1065346.1400000001
2022-12-27,809408.22
2022-12-28,737481.89
2022-12-29,733052.49
2022-12-30,934840.15
2022-12-31,722929.75
2023-01-01,229287.53
2023-01-02,636599.27
2023-01-03,1074612.16
2023-01-04,442307.26
2023-01-05,1070493.03
2023-01-06,849574.15
2023-01-07,574429.68
2023-01-08,1272648.3900000001
2023-01-09,974519.3699999999
2023-01-10,468495.41
2023-01-11,795353.1000000001
2023-01-12,1041313.2
2023-01-13,1036753.92
2023-01-14,532826.75
2023-01-15,867363.26
2023-01-16,1068318.17
2023-01-17,986828.3499999999
2023-01-18,633342.96
2023-01-19,757287.93
2023-01-20,390150.4
2023-01-21,1189294.43
2023-01-22,1273902.09
2023-01-23,924866.5800000001
2023-01-24,191301.69
2023-01-25,297852.0
2023-01-26,178948.26
2023-01-27,864660.45
